city,state,country,Lat,long,scholars,text_position
Burnaby, BC,CAN,49.246445,-122.99456,1,top right
Cerritos, CA,USA,33.8678,-118.0686,1,top right
Garden Grove, CA,USA,33.7787,-117.9601,1,top right
La Jolla, CA,USA,32.842674,-117.257767,2,top right
Los Angeles, CA,USA,34.1141,-118.4068,9,top right
Riverside, CA,USA,33.9381,-117.3949,2,top right
San Diego, CA,USA,32.8313,-117.1222,5,top right
Tampa, FL,USA,27.9945,-82.4447,8,top right
Atlanta, GA,USA,33.7628,-84.422,5,top right
Boston, MA,USA,42.3188,-71.0852,3,top right
Holliston, MA,USA,42.20053,-71.42789,1,top right
Shrewsbury, MA,USA,38.5866,-90.3282,1,top right
Houghton, MI,USA,47.1118,-88.5675,1,top right
Rochester, MN,USA,43.168,-77.6162,2,top right
St. Louis, MO,USA,38.6359,-90.2451,2,top right
Durham, NC,USA,35.9792,-78.9022,2,top right
Raleigh, NC,USA,35.8324,-78.6429,1,top right
New York, NY,USA,40.6943,-73.9249,2,top right
Portland, OR,USA,45.5371,-122.65,6,top right
Philadelphia, PA,USA,40.0077,-75.1339,1,top right
Montreal, QC,USA,46.4312,-90.2382,1,top right
Nashville, TN,USA,36.1715,-86.7842,3,top right
Fort Worth, TX,USA,32.7817,-97.3474,1,top right
Houston, TX,USA,29.786,-95.3885,1,top right